"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
"""se peigner""","""to comb""","""me suis peigné""","""t'es peigné""","""s'est peigné""","""s'est peignée""","""nous sommes peignés""","""vous êtes peignés""","""se sont peignés""","""se sont peignées"""
"""se préparer""","""to get ready""","""me suis préparé""","""t'es préparé""","""s'est préparé""","""s'est préparée""","""nous sommes préparés""","""vous êtes préparés""","""se sont préparés""","""se sont préparées"""
"""se rappeler""","""to recall""","""me suis rappelé""","""t'es rappelé""","""s'est rappelé""","""s'est rappelée""","""nous sommes rappelés""","""vous êtes rappelés""","""se sont rappelés""","""se sont rappelées"""
"""se raser""","""to shave""","""me suis rasé""","""t'es rasé""","""s'est rasé""","""s'est rasée""","""nous sommes rasés""","""vous êtes rasés""","""se sont rasés""","""se sont rasées"""
"""se reposer""","""to relax""","""me suis reposé""","""t'es reposé""","""s'est reposé""","""s'est reposée""","""nous sommes reposés""","""vous êtes reposés""","""se sont reposés""","""se sont reposées"""
"""se réveiller""","""to wake up""","""me suis réveillé""","""t'es réveillé""","""s'est réveillé""","""s'est réveillée""","""nous sommes réveillés""","""vous êtes réveillés""","""se sont réveillés""","""se sont réveillées"""
"""se sentir""","""to feel""","""me suis senti""","""t'es senti""","""s'est senti""","""s'est sentie""","""nous sommes sentis""","""vous êtes sentis""","""se sont sentis""","""se sont senties"""
"""se souvenir""","""to remember""","""me suis souvenu""","""t'es souvenu""","""s'est souvenu""","""s'est souvenue""","""nous sommes souvenus""","""vous êtes souvenus""","""se sont souvenus""","""se sont souvenues"""
"""s'embrasser""","""to kiss ""","""me suis embrassé""","""t'es embrassé""","""s'est embrassé""","""s'est embrassée""","""nous sommes embrassés""","""vous êtes embrassés""","""se sont embrassés""","""se sont embrassées"""
"""s'entendre""","""to get along""","""me suis entendu""","""t'es entendu""","""s'est entendu""","""s'est entendue""","""nous sommes entendus""","""vous êtes entendus""","""se sont entendus""","""se sont entendues"""
"""s'habituer""","""to get used to""","""me suis habitué""","""t'es habitué""","""s'est habitué""","""s'est habituée""","""nous sommes habitués""","""vous êtes habitués""","""se sont habitués""","""se sont habituées"""
